time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.876791006438045e-09,9.352625193894745e-07,10.004331900043594,0.0006619034903661003,1.0710501983091092e-05,0.0,-8.799626417053805e-07,7.37158439977313e-05,0.14438859492167147,0.027014073049672307,0.0005331885389137868,0.0,450.42141930583784,450.4645255392241,449.9929292624595,452.1739545013634
0.12000000000000001,-6.344427404503925e-07,2.8512046717750264e-05,10.019222004767817,0.0024435012596448757,0.00020312083268869685,0.0,-3.376290010717051e-05,0.001046668219852235,0.3519064242891516,0.034574558022376106,0.008079881445868898,0.0,469.76247536707365,470.34714484852896,469.28734418835137,469.87395091471535
0.18,-8.493036368750979e-06,0.000147150691681397,10.042431504659847,0.004494886359835526,0.0007470007307155413,0.0,-0.00027841892434345324,0.0031091132410303473,0.4217192245453363,0.033408984966906606,0.01096488915151234,0.0,427.7591183307882,428.00456985279806,426.8866178988008,426.787698607482
0.23999999999999996,-4.639925894033236e-05,0.00045526265385809446,10.074601317436258,0.007686693181971016,0.0012192563706747706,0.0,-0.0010544906492248078,0.00749450674095729,0.6505035405751362,0.07695827279413327,0.0008261946508968322,0.0,477.16450310299746,476.3898974205219,474.0221781395493,477.35789034294766
0.3,-0.00012695513146033054,0.0010242702649711484,10.109950264317352,0.012156723763835586,0.0014469870417705977,0.0,-0.001640759847245365,0.011787034845385918,0.5278581294356228,0.0690694320608704,0.00915617292309226,0.0,359.00553369840213,359.84957225287945,360.644209905533,359.85237568875897
0.36000000000000004,-0.00026416438277049884,0.0020560768721381395,10.149063366230845,0.016459826297674063,0.0017716363279198788,0.0,-0.0029884543681492066,0.023128667327415853,0.7757693103837736,0.07654755119307455,-0.0033925916069452583,0.0,481.99791506110165,481.04867744607566,481.98849804619465,482.5567523062325
0.4200000000000001,-0.000482340247040751,0.0038296013275802305,10.20024308502281,0.020817804293274733,0.001766226008418137,0.0,-0.004273152812499076,0.036480919787248496,0.9300990262351314,0.0633591902490721,0.0058095037077225825,0.0,454.51558421768755,455.2523877166759,454.6048801676079,453.5509476861225
0.48000000000000015,-0.000773815517941862,0.006430017020824213,10.257509754735075,0.02467589424276362,0.00220816202620977,0.0,-0.005480095206388054,0.05056024271577995,0.9787408971667351,0.06612163251894776,0.010309141999174397,0.0,421.4242188192282,421.8128212485617,420.7295304543316,420.9718868025386
0.5400000000000001,-0.001153996864845898,0.01002701443578467,10.32072621244159,0.028106673190571918,0.002552902445788874,0.0,-0.00724724826205537,0.06975543835203818,1.128326782846098,0.02566905665745161,-0.005451846663724242,0.0,454.22477705058196,452.9591372398825,454.8585751588054,451.6096459356626
0.6000000000000002,-0.0016432986037102114,0.01481735118419084,10.392074372362899,0.02927534229603257,0.0031213618877359295,0.0,-0.009085757216181288,0.09006569849017457,1.2498150038598415,0.0026998455883283125,0.02927668411147763,0.0,443.2277818415652,446.0724809593215,446.36873521067747,444.49052350477774
0.6600000000000003,-0.0022829095768905987,0.021021892116225405,10.476725275021147,0.029212989524613597,0.005082942962833847,0.0,-0.012484990651660473,0.1167490635048264,1.5714943976570688,-0.009825337890079685,0.03877299709100772,0.0,503.42531262844665,504.11216831476173,504.6267047398148,503.72188075260317
0.7200000000000003,-0.0031557735594352435,0.028677134282601612,10.575695859455516,0.028804344490295897,0.007837930820454808,0.0,-0.016892626211090153,0.13836419850401838,1.7273015440641506,-0.001376283903450115,0.05732993772373759,0.0,455.6480339855984,457.1301689887119,456.8043208346843,457.4776232283211
0.7800000000000004,-0.004374402067141207,0.037675635779586665,10.68587533392852,0.028836861963092986,0.010999122120872507,0.0,-0.024122212098963446,0.16157245903003112,1.944998321893614,0.004126434346875069,0.04124851664285445,0.0,475.53088602478834,474.2990855145157,476.3000182405479,476.72063062685544
0.8400000000000004,-0.006047151970839215,0.04793783410714625,10.804576164521057,0.029431249688877337,0.013564400026696788,0.0,-0.03187960861205326,0.1805394234451629,2.0115756675565293,0.019497647788678657,0.04560766667578538,0.0,429.6805438772139,430.0509877886664,429.51152634740305,430.8130128124647
0.9000000000000005,-0.008261116663619963,0.059404522665044264,10.929012925192291,0.030870617928328237,0.01602290316434729,0.0,-0.04219275012815832,0.20181504894632882,2.136081899497302,0.0317260473942578,0.029569010252272432,0.0,449.75037524628505,448.4503803351446,447.68416229757776,448.6780600079162
0.9600000000000005,-0.011237112112907552,0.07235996054648913,11.066631749151384,0.03313398763273767,0.01832642040656829,0.0,-0.05727517576539924,0.23029388144337815,2.4505762719378925,0.04761116713007666,0.0518845738043197,0.0,502.75597891316187,504.3706447385304,505.16460131448923,506.3091668644013
1.0200000000000005,-0.015136091257001836,0.08700057233447221,11.220450968215852,0.03652968002365142,0.02155615747812689,0.0,-0.07306411588138459,0.2580905631407099,2.6762061186300254,0.070275670623525,0.05745748039470627,0.0,480.9711684175983,481.39470735926943,479.5568520459295,481.27712435163244
1.0800000000000005,-0.020004930993544223,0.103299362453992,11.385182133933403,0.040816224707758586,0.02532039795279939,0.0,-0.08961329040040163,0.2856466240607557,2.814470956075881,0.07367818745887189,0.07162100603700614,0.0,454.56754994267567,455.7038131534642,456.4768572032546,456.7520640132311
1.1400000000000006,-0.025878303593043477,0.12122815781566673,11.555384208793873,0.044826441230354064,0.029658271415848425,0.0,-0.10656794313245564,0.31237432588355507,2.858787838858099,0.04741508679903835,0.07361770007755875,0.0,427.1142085700461,427.28873342706095,427.8336826108655,425.5950534597095
1.2000000000000006,-0.03295978709143685,0.14099165229167293,11.73178178515505,0.047714545939304465,0.03392402936014083,0.0,-0.12995223268533956,0.346706196664298,3.0206803333204895,0.04953706729958294,0.0655072347566594,0.0,464.47108821532674,463.83820831550383,463.98211146908767,464.14998151850347
1.2600000000000007,-0.0416354376834231,0.16301346852985676,11.920644256609874,0.05079270715089024,0.03855396506493136,0.0,-0.15975419298862642,0.38769525457681775,3.273996808101716,0.05461761783684285,0.09380063063598335,0.0,491.2677382346438,493.36504017090795,490.99436717047274,491.3725532846342
1.3200000000000007,-0.051995553831600747,0.1872779249322799,12.11895897037442,0.05378026435880301,0.04414937538568431,0.0,-0.1861172047876049,0.42141144322218926,3.33626530611393,0.03778549466887532,0.09214729110755698,0.0,435.45033907720557,435.3195558136493,436.7018334928761,435.2970610544415
1.3800000000000008,-0.06412033454965381,0.21370766877840364,12.322629179249152,0.055959657818060116,0.04982349770450156,0.0,-0.2186118712049009,0.45978894286825767,3.4523453610879056,0.03322614977224768,0.09901505809336765,0.0,453.1433604084164,453.70249258558783,452.9971725631535,452.6309518051764
1.4400000000000008,-0.07813439218747462,0.24228252147767304,12.529678234312048,0.05762007267695246,0.05626656496052718,0.0,-0.24906461106150665,0.49286279894965634,3.4492492220634063,0.013242543355559907,0.12032631374204146,0.0,414.76159479298025,416.6399047274838,416.3289779151933,414.5769647393663
1.5000000000000009,-0.09434180429972712,0.27311626572131253,12.740848482639382,0.05785137095167059,0.06312223766267788,0.0,-0.29192180221992814,0.5349700772866736,3.58926319262077,-0.031912422353861054,0.09798519206285157,0.0,463.1908122426679,461.44127662935665,462.2339187305058,458.66151205589273
1.560000000000001,-0.11306426434391714,0.3062875292287204,12.957266745816298,0.05552523430847067,0.06995820010435239,0.0,-0.3327512862430549,0.5705330483086358,3.62452540556163,-0.05826386248404221,0.13462106080426364,0.0,428.6189207639649,431.7326731277412,429.86201344893385,427.6220215559057
1.620000000000001,-0.13442801092519865,0.34158539078186445,13.176587063831567,0.05211636010355569,0.07818797442120484,0.0,-0.3801452445564371,0.6057085380315813,3.685901385734646,-0.054064128176216246,0.14181045085986738,0.0,438.2406903957202,438.8555466513186,437.7672323595018,438.1143070840343
